tempo,direita,esquerda
1292,33.226,33.438
1293,33.231,33.457
1294,33.235,33.49
1295,33.235,33.603
1296,33.221,33.551
1297,33.155,33.532
1298,33.108,33.476
1299,33.117,33.528
1300,33.136,33.358
1301,33.132,33.433
1302,33.202,33.504
1303,33.155,33.518
1304,33.226,33.542
1305,33.283,33.495
1306,33.226,33.481
1307,33.132,33.438
1308,33.174,33.424
1309,33.146,33.565
1310,33.094,33.532
1311,33.08,33.598
1312,33.117,33.589
1313,33.132,33.438
1314,33.165,33.462
1315,33.179,33.537
1316,33.179,33.485
1317,33.16,33.537
1318,33.188,33.575
1319,33.155,33.495
1320,33.217,33.542
1321,33.174,33.579
1322,33.16,33.579
1323,33.202,33.532
1324,33.169,33.499
1325,33.103,33.546
1326,33.146,33.528
1327,33.179,33.476
1328,33.184,33.462
1329,33.127,33.532
1330,33.198,33.537
1331,33.193,33.452
1332,33.141,33.419
1333,33.217,33.443
1334,33.202,33.466
1335,33.174,33.452
1336,33.15,33.41
1337,33.094,33.471
1338,33.132,33.396
1339,33.169,33.466
1340,33.136,33.495
1341,33.193,33.561
1342,33.15,33.495
1343,33.08,33.495
1344,33.075,33.509
1345,33.165,33.523
1346,33.127,33.443
1347,33.094,33.457
1348,33.094,33.499
1349,33.098,33.565
1350,33.084,33.551
1351,33.117,33.471
1352,33.193,33.556
1353,33.16,33.579
1354,33.24,33.561
